date,experimentId,experimentVariant,deviceCategory,userType,sessions,users,transactionRevenue,transactions,addToCart
2021-09-29,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,6386,2930,6.55036394,417,413.0
2021-09-26,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,2186,1018,3.02391371,203,376.0
2021-09-23,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,2616,1274,3.5861286,208,343.0
2021-10-08,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,3314,2055,3.23908102,210,113.0
2021-10-07,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,8390,3859,8.70675799,470,428.0
2021-10-02,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,2714,1235,3.2076941299999997,225,177.0
2021-09-30,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,6891,3081,9.03020727,490,417.0
2021-10-05,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,8007,3591,8.77088363,498,502.0
2021-10-06,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,8402,3803,9.248435429999999,505,437.0
2021-10-03,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,2927,1354,4.39410986,252,255.0
2021-09-28,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,desktop,New Visitor,360,360,0.34787126,24,64.0
2021-09-25,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,desktop,Returning Visitor,577,282,0.96796949,58,65.0
2021-09-29,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,desktop,Returning Visitor,6343,2867,6.68781381,336,429.0
2021-10-01,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,desktop,Returning Visitor,6365,2930,6.04748609,337,300.0
2021-09-24,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,desktop,Returning Visitor,1009,476,1.08072721,86,109.0
2021-09-27,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,desktop,Returning Visitor,5627,2540,7.3918842300000005,353,428.0
2021-09-30,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,desktop,Returning Visitor,6773,3051,6.63875086,357,414.0
2021-09-28,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,desktop,Returning Visitor,6150,2780,7.75954914,378,399.0
2021-09-26,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,desktop,Returning Visitor,2129,995,2.39735051,130,183.0
2021-10-03,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,desktop,Returning Visitor,2844,1318,2.46613888,136,229.0
2021-10-08,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,desktop,Returning Visitor,3310,2031,3.0135028399999997,148,125.0
2021-09-23,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,desktop,Returning Visitor,2632,1281,3.52465313,179,286.0
2021-10-05,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,desktop,Returning Visitor,8318,3740,7.42462994,436,446.0
2021-10-04,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,desktop,Returning Visitor,8132,3700,9.1783167,444,395.0
